masked_words|abs_decrease_on_replacement
malk|0.7436494142018447
llp|0.742822339674859
shed|0.733372715385977
strauss|0.7267260187642817
snooping|0.7008580607986317
fatherless|0.6877678750210096
coward|0.6316984957103091
sea-men|0.5487828909413546
mm|0.5481116952018366
traitor-in-chief|0.4701277990225317
clown|0.46936726371158066
traitor|0.4482632321733056
hypocrite|0.4395506029396814
operate|0.43435731950852813
disgusting|0.43189504975138
parroting|0.4028497430465565
stupidity|0.3999540277338839
pedo|0.39095030816721865
st.|0.3845667715628059
grew|0.38388223904406515
fools|0.38131736487385964
cooking|0.3809378879644722
givonna|0.3788987368125699
misinformed|0.3755922360141083
whos|0.3752246935426132
loses|0.37497795632510683
web|0.37232063007747984
clair|0.3723176091355719
springsteen|0.3714393924187639
twisted|0.3710393333579181
trashy|0.36959383541300983
demoted|0.3692353303094447
fifth-grader|0.36785880091018297
insulting|0.3676548301720692
outrage|0.3635899608154965
bruce|0.3581187317042233
firm|0.356149322880702
jmo|0.3555127443000934
papers|0.3466894796903365
il|0.3460545050635632
witch|0.3407501412764745
olivia|0.338271006293416
dershowitz|0.3339593242649237
departments|0.3287012054904198
brain-dead|0.3242535276484424
hates|0.32188774678702353
nasty|0.3214314407151136
jarrett|0.31796060209648214
shadows|0.3156570059024627
falsely|0.3142579965849679
corporations|0.31191706292670746
playbook|0.31103053793748353
throwing|0.31069964563747876
unto|0.3091527277924501
condom|0.30676701958518454
punches|0.30436764985749865
molested|0.30215594414968017
devil|0.30196647245500063
lick|0.30002302019024196
prominent|0.29724512818930326
poorer|0.29587702713266256
foodie|0.29320761064681766
crap|0.2925993750599241
slipped|0.292533430864559
lousy|0.29089214237446437
ignorance|0.2888283655016973
hemorrhoids|0.2848798268922069
hahahahahahahaha|0.2839698730750592
glock|0.2839698730750592
disagreement|0.2830123967277576
infiltrate|0.28288049769732276
wacky|0.28271697366507825
fool|0.2824606599370634
ar|0.2821952947489742
haa|0.2818679499479064
publish|0.28161334765960844
educated|0.28121975054833254
obsession|0.28039458116362403
trail|0.28027794533785566
employed|0.27913330903346906
attorney|0.2780753498805152
capture|0.2777715074318965
nose|0.2769116651580776
develop|0.27639977884798145
cells|0.27386435430871836
.357|0.27113186963772906
lions|0.2710013720506808
barbaric|0.27087062236527987
honorable|0.27086832590552345
ignorant|0.27065935892935444
femanazis|0.2704445798873259
jv|0.2699204286352731
belly|0.2695440443830412
stinky|0.26900476960810904
fat|0.2688860407009027
agreeing|0.2677927496396749
solving|0.26646912192039335
lewinski|0.26196753386960975
thee|0.26187160452499664
narcissist|0.26022171660064586
ruling|0.2546475049443224
ugly|0.2533266684779327
toward|0.25113830407078297
recently|0.25106375245135115
presume|0.2487769558157326
wiping|0.24371868094228435
deplorable|0.24061320043442408
stamped|0.23980739947169027
stating|0.23946877173194245
wan|0.23932578318143877
kinds|0.23757209024498466
homosexuality|0.23707066865074228
churches|0.23254263313326473
thugs|0.23240657208489252
valerie|0.23204890157325314
implemented|0.2312463192447857
law-abiding|0.23073919673085727
psychiatrist|0.23052452626882372
dim-wit|0.2300617567969227
males|0.22925595834033652
rear|0.22907933935606334
slugs|0.22831216575376398
sore|0.22750156005813443
pos|0.22737795866077093
sending|0.22718788421266706
underground|0.2243865528832604
ridiculous|0.2240578906587225
dishonored|0.22346966854801523
meth|0.22330610569880777
purchases|0.22256721378783667
bankrupt|0.22245029860146853
shove|0.2222842219282688
millennials|0.22210030720109156
wipe|0.22192101019647933
rapist|0.22175338618039736
avoiding|0.22141948540215103
hormones|0.2208143421639946
gladly|0.22048698824486354
deranged|0.22011981808796807
aka|0.22000266839618643
lazy|0.21923404362092408
behave|0.2185854881170421
puzzle|0.21837221080559335
beg|0.21835974837897468
palestinians|0.2175724528811174
motives|0.21732068584293662
iran|0.21685714421157962
hypocrites|0.2163418508653984
diseases/disorders|0.21569643844304837
pe|0.21516314603328976
.it|0.21384106956784837
abhorrent|0.21209027086345117
dumping|0.2116630179065928
pious|0.21150769557301863
nerve|0.21102442982252317
satan|0.2108864517991577
light|0.2102056798735716
phony|0.21011937172450187
lectures|0.20882020346702562
jose|0.20845212441414923
scammers|0.20822549013908062
plausible|0.20669554645939242
fanatical|0.20425921768899097
grandmother|0.20355460073986748
organs|0.2024456993207644
sufficient|0.20213711638120363
ancestors|0.19992685599659496
privilage|0.19887876742223268
pee|0.1987473401702492
recovers|0.19873999789519772
naming|0.1981640549099143
towards|0.19669848462027015
daddy|0.19616696412030712
crumbling|0.19523909722134752
dismisses|0.1939513061941764
spewing|0.19361000249197802
deporting|0.19281323435551329
drown|0.19257233306817892
pedophile|0.19232633859667364
intentionally|0.19055366702930648
snarth|0.19011235444934416
bracelets|0.1899112548766219
nuts|0.1898222678399516
morality|0.18942043833504302
pedophiles|0.18849405652045584
developed|0.18847026013568532
useful|0.1861969736173804
pig|0.18618022478524762
controlling|0.18568196137166998
logical|0.18494628716214323
kicked|0.1843190986603888
troll|0.18407683605406397
stds|0.18400495774959322
cool|0.18387308000766506
illegally|0.18360930436305398
female|0.1828862271936368
kettle|0.18271691500724668
hated|0.18236496671050748
annoyance|0.18189913099745786
ilk|0.18153451348602836
silly|0.1812829284644733
sick|0.18043840694576688
hanging|0.18024092182785606
critique|0.18012038299283817
determine|0.17974597708457615
utterly|0.17946383830414186
folk|0.17929377990155446
spite|0.17866658900835608
politicize|0.1768066557180003
area|0.17599877361515623
meds|0.17573561700526452
chosen|0.17555761944364337
nail|0.17537026034749387
correctly|0.17350923871041102
date|0.17321147228848574
anti-gay|0.17299654897797584
gay/tg|0.17244471660610633
sand|0.16794228944813927
hilary|0.16690741509927765
invaded|0.1664293884541928
transgenders|0.16602284407646342
circles|0.1656109632590042
abuse|0.16498146191981403
romney|0.16414415907849364
iranians|0.16387167032580688
coin|0.1637084936847057
brienne|0.16364610582994946
cupcakes|0.1626443697373814
dare|0.16101082687896928
boarder|0.1608385993715734
hears|0.16067606766095377
overlords|0.1603307060272087
branches|0.15892897327230152
prevalent|0.15829940967009146
elimination|0.15741085045790099
serving|0.1571591050853561
psychological|0.15644289891623314
lefts|0.15618622865367163
diarrhea|0.15589416246056373
instructions|0.15507864009831085
empty|0.15459383386230224
round|0.1542848117203962
christmas|0.154253356635414
pushing|0.15313441804834496
hrc|0.15311094611902284
foul|0.15292736043110686
tiresome|0.15275871701418645
7.62|0.15187730078712286
paper|0.15174040774495978
document|0.15022954828262852
wayne|0.14959744937080685
bodies|0.14929344483869686
bathroom|0.14788617667003484
